Neighborhood,LivArea,TotalBedrooms,SalePrice,Source
NAmes,1656,3,215000,Ames
NAmes,896,2,105000,Ames
NAmes,1329,3,172000,Ames
NAmes,2110,3,244000,Ames
Gilbert,1629,3,189900,Ames
Gilbert,1604,3,195500,Ames
StoneBr,1338,2,213500,Ames
StoneBr,1280,2,191500,Ames
StoneBr,1616,2,236500,Ames
Gilbert,1804,3,189000,Ames
Gilbert,1655,3,175900,Ames
Gilbert,1187,3,185000,Ames
Gilbert,1465,3,180400,Ames
Gilbert,1341,2,171500,Ames
StoneBr,1502,1,212000,Ames
StoneBr,3279,4,538000,Ames
Gilbert,1752,4,164000,Ames
StoneBr,1856,1,394432,Ames
Gilbert,864,2,141000,Ames
NWAmes,2073,3,210000,Ames
NWAmes,1844,3,190000,Ames
NWAmes,1173,3,170000,Ames
Somerst,1674,3,216000,Ames
NAmes,1004,2,149000,Ames
NAmes,1078,3,149900,Ames
NAmes,1056,3,142000,Ames
NAmes,882,2,126000,Ames
NAmes,864,3,115000,Ames
NAmes,1337,2,184000,Ames
BrDale,987,2,96000,Ames
BrDale,1092,3,105500,Ames
BrDale,1092,3,88000,Ames
NPkVill,1069,2,127500,Ames
NPkVill,1456,3,149900,Ames
NPkVill,836,2,120000,Ames
NPkVill,1456,3,146000,Ames
NridgHt,2334,3,376162,Ames
NridgHt,1704,3,306000,Ames
NridgHt,1940,3,395192,Ames
NridgHt,1544,3,290941,Ames
NridgHt,1541,3,220000,Ames
NridgHt,1698,3,275000,Ames
NridgHt,1822,3,259000,Ames
NridgHt,1535,3,214000,Ames
NridgHt,2364,2,611657,Ames
NridgHt,1358,2,224000,Ames
NridgHt,2696,3,5.00E+05,Ames
NridgHt,2250,3,320000,Ames
NridgHt,1752,2,319900,Ames
NridgHt,1370,2,205000,Ames
NridgHt,1626,2,175500,Ames
Gilbert,1324,3,199500,Ames
Blmngtn,1145,2,160000,Ames
Blmngtn,1269,2,192000,Ames
Gilbert,1374,3,184500,Ames
Gilbert,1960,4,216500,Ames
Gilbert,1733,3,185088,Ames
Gilbert,1430,3,180000,Ames
Gilbert,2035,3,222500,Ames
NoRidge,2599,4,333168,Ames
NoRidge,2475,4,355000,Ames
NoRidge,1720,3,260400,Ames
NoRidge,2622,3,325000,Ames
NoRidge,2270,4,290000,Ames
NoRidge,1839,4,221000,Ames
NoRidge,3238,4,410000,Ames
Somerst,1595,2,221500,Ames
Somerst,1218,2,204500,Ames
Somerst,1547,3,215200,Ames
Somerst,1566,3,262500,Ames
Somerst,1947,3,254900,Ames
Somerst,1468,2,271500,Ames
SawyerW,2084,4,233000,Ames
SawyerW,1659,3,181000,Ames
SawyerW,2110,3,205000,Ames
SawyerW,923,2,143000,Ames
SawyerW,1845,3,189000,Ames
SawyerW,918,2,99500,Ames
SawyerW,752,2,125000,Ames
SawyerW,1744,3,194500,Ames
SawyerW,1097,3,152000,Ames
SawyerW,1564,3,171000,Ames
SawyerW,1012,2,67500,Ames
Sawyer,1902,4,112000,Ames
Sawyer,1155,3,148000,Ames
Sawyer,894,3,138500,Ames
Sawyer,900,3,122000,Ames
Sawyer,1040,3,133000,Ames
Sawyer,1040,3,127000,Ames
Sawyer,1494,3,169000,Ames
NoRidge,1923,3,190000,Ames
NoRidge,2349,4,362500,Ames
NoRidge,2225,4,285000,Ames
Somerst,1488,2,260000,Ames
Somerst,1680,2,190000,Ames
Somerst,1200,2,155000,Ames
Somerst,1200,2,151000,Ames
Somerst,1200,2,149500,Ames
Somerst,1236,2,152000,Ames
Somerst,1478,2,222000,Ames
Somerst,1573,3,177500,Ames
Somerst,1512,2,177000,Ames
Somerst,1416,3,155000,Ames
Somerst,1080,2,147110,Ames
Somerst,1418,1,267916,Ames
Somerst,1848,3,254000,Ames
Greens,788,1,155000,Ames
Greens,1226,1,206000,Ames
Sawyer,1479,3,130500,Ames
Somerst,1492,3,230000,Ames
NWAmes,1829,4,218500,Ames
NWAmes,2495,4,243500,Ames
NWAmes,1610,3,205000,Ames
NWAmes,1891,3,212500,Ames
NWAmes,1714,3,196500,Ames
NWAmes,1381,3,197500,Ames
NWAmes,1645,4,171000,Ames
NAmes,1232,3,142250,Ames
NWAmes,1328,3,143000,Ames
NAmes,1225,3,128950,Ames
NAmes,1209,3,159000,Ames
NAmes,1510,3,178900,Ames
NAmes,1775,3,136300,Ames
NAmes,1152,3,180500,Ames
NAmes,1054,3,137500,Ames
NAmes,1728,6,84900,Ames
NAmes,1078,2,142125,Ames
NAmes,2461,3,197600,Ames
NAmes,1556,3,172500,Ames
BrkSide,858,2,116500,Ames
BrkSide,1306,3,76500,Ames
NAmes,1063,3,128000,Ames
NAmes,1520,3,153000,Ames
NAmes,1268,2,132000,Ames
NAmes,1128,2,178000,Ames
NAmes,2274,5,154300,Ames
NAmes,2207,3,180000,Ames
NAmes,1888,2,190000,Ames
NAmes,1604,4,135000,Ames
NAmes,1480,3,214000,Ames
NAmes,1143,3,136000,Ames
NAmes,1700,4,165500,Ames
NAmes,1314,3,145000,Ames
NAmes,1194,3,148000,Ames
NAmes,1188,3,142000,Ames
NAmes,1264,3,167500,Ames
NAmes,1206,3,108538,Ames
NAmes,1580,3,159500,Ames
NAmes,1337,3,108000,Ames
NAmes,1064,2,135000,Ames
NAmes,972,3,122500,Ames
NAmes,988,2,119000,Ames
NAmes,1057,3,109000,Ames
