"Neighborhood","Source","Liv_Area","Total_bedrooms","Sale_Price"
"StoneBr","Ames",1280,2,191500
"Gilbert","Ames",1804,3,189000
"StoneBr","Ames",1856,1,394432
"NWAmes","Ames",2073,3,210000
"BrDale","Ames",1092,3,105500
"NPkVill","Ames",836,2,120000
"NridgHt","Ames",1752,2,319900
"Gilbert","Ames",2035,3,222500
"NoRidge","Ames",1720,3,260400
"SawyerW","Ames",2110,3,205000
"SawyerW","Ames",752,2,125000
"SawyerW","Ames",1564,3,171000
"Sawyer","Ames",1902,4,112000
"Sawyer","Ames",1155,3,148000
"Sawyer","Ames",1040,3,127000
"NoRidge","Ames",2349,4,362500
"Somerst","Ames",1200,2,155000
"Somerst","Ames",1236,2,152000
"Somerst","Ames",1573,3,177500
"Somerst","Ames",1848,3,254000
"Somerst","Ames",1492,3,230000
"NAmes","Ames",1232,3,142250
"NWAmes","Ames",1328,3,143000
"NAmes","Ames",1728,6,84900
"NAmes","Ames",1078,2,142125
"NAmes","Ames",2461,3,197600
"NAmes","Ames",1063,3,128000
"NAmes","Ames",1128,2,178000
"NAmes","Ames",1888,2,190000
"NAmes","Ames",1206,3,108538
"NAmes","Ames",1337,3,108000
"NAmes","Ames",1064,2,135000
"NAmes","Ames",1287,3,162000
"NAmes","Ames",2978,5,242000
"NAmes","Ames",1246,3,154000
"NAmes","Ames",1116,3,160000
"OldTown","Ames",1140,3,96500
"OldTown","Ames",1028,2,115000
"OldTown","Ames",1316,3,130000
"OldTown","Ames",1251,3,119000
"OldTown","Ames",1245,3,1e+05
"BrkSide","Ames",765,2,87000
"OldTown","Ames",1812,4,140000
"ClearCr","Ames",2403,4,244400
"SWISU","Ames",1392,3,1e+05
"SWISU","Ames",919,3,95000
"Sawyer","Ames",1020,2,94000
"Sawyer","Ames",912,3,125000
"Sawyer","Ames",1373,3,160250
"ClearCr","Ames",1524,0,260000
"Edwards","Ames",835,2,83000
"Edwards","Ames",930,2,84900
"SawyerW","Ames",1732,3,178000
"SawyerW","Ames",1949,3,236000
"CollgCr","Ames",1694,3,245350
"ClearCr","Ames",1052,3,155000
"CollgCr","Ames",2098,4,240000
"Edwards","Ames",960,3,90000
"Edwards","Ames",1526,4,144500
"SWISU","Ames",2650,6,160000
"SWISU","Ames",2447,4,169000
"Crawfor","Ames",2133,4,257500
"Crawfor","Ames",1902,3,335000
"IDOTRR","Ames",1178,2,102776
"Crawfor","Ames",1646,2,246000
"Mitchel","Ames",1285,3,190000
"Timber","Ames",1687,3,160000
"Timber","Ames",1214,2,179781
"Mitchel","Ames",1264,2,169000
"Mitchel","Ames",1430,3,173500
"Mitchel","Ames",874,3,130000
"Mitchel","Ames",833,2,149900
"Mitchel","Ames",2432,4,159000
"Mitchel","Ames",1479,5,161000
"NAmes","Ames",882,2,124500
"Gilbert","Ames",1382,3,177500
"Gilbert","Ames",1718,3,185000
"Gilbert","Ames",1593,3,178000
"Gilbert","Ames",1167,3,173000
"Gilbert","Ames",1983,3,225000
"StoneBr","Ames",1530,3,260000
"NWAmes","Ames",1602,3,215000
"NWAmes","Ames",1671,3,2e+05
"NWAmes","Ames",1370,3,152000
"Somerst","Ames",1884,3,240900
"NWAmes","Ames",1621,3,213000
"NWAmes","Ames",1116,3,167900
"NAmes","Ames",864,3,76500
"NAmes","Ames",864,3,120500
"BrDale","Ames",1302,3,119500
"NPkVill","Ames",1322,3,147000
"NPkVill","Ames",1456,3,138000
"NAmes","Ames",1120,3,148800
"NridgHt","Ames",2020,3,402861
"NridgHt","Ames",1713,3,274900
"NridgHt","Ames",2224,4,350000
"NridgHt","Ames",1836,3,280000
"NridgHt","Ames",2392,3,386250
"NridgHt","Ames",2400,4,290000
"NridgHt","Ames",2200,3,382500
"NridgHt","Ames",1884,2,320000
"NridgHt","Ames",1712,3,286500
"Gilbert","Ames",1560,3,174000
"Blmngtn","Ames",1145,2,160200
"Gilbert","Ames",2267,4,2e+05
"Gilbert","Ames",1374,3,170000
"Gilbert","Ames",1419,3,184100
"Gilbert","Ames",1594,3,195500
"NoRidge","Ames",2794,4,403000
"NoRidge","Ames",2063,3,315000
"NoRidge","Ames",2448,4,402000
"Somerst","Ames",1702,3,275500
"Somerst","Ames",1432,3,245000
"Somerst","Ames",1436,3,225000
"Somerst","Ames",1402,3,229800
"Somerst","Ames",1653,3,209000
"SawyerW","Ames",2122,4,220000
"SawyerW","Ames",1434,3,189000
"Sawyer","Ames",980,3,110000
"Sawyer","Ames",980,3,135000
"Sawyer","Ames",864,2,122000
"Sawyer","Ames",1020,3,124100
"Sawyer","Ames",1144,3,131400
"NoRidge","Ames",1755,3,235000
"Somerst","Ames",1256,1,195000
"Veenker","Ames",1694,2,318750
"Greens","Ames",1226,1,211500
"Sawyer","Ames",1620,3,150000
"NWAmes","Ames",1442,2,185000
"NAmes","Ames",864,2,130000
"NAmes","Ames",1776,4,110000
"NAmes","Ames",1516,3,167000
"NAmes","Ames",1445,3,158000
"NAmes","Ames",1041,3,124500
"BrkSide","Ames",708,2,82500
"NAmes","Ames",1668,3,140000
"NAmes","Ames",1113,3,147000
"NAmes","Ames",1584,4,124000
"NAmes","Ames",1329,3,176000
"NAmes","Ames",1112,2,126000
"NAmes","Ames",793,2,113000
"NAmes","Ames",1210,2,102900
"OldTown","Ames",792,2,109500
"OldTown","Ames",1374,2,105000
"NAmes","Ames",1306,2,153000
"NAmes","Ames",1040,2,92900
"NAmes","Ames",1040,2,90000
"NAmes","Ames",1041,3,128000
"NAmes","Ames",1339,3,139000
"NAmes","Ames",1461,4,133500
"OldTown","Ames",1230,2,110000
"OldTown","Ames",2372,4,107500
"OldTown","Ames",1389,3,135000
"OldTown","Ames",886,2,91300
"OldTown","Ames",2007,3,160000
"OldTown","Ames",816,2,58500
"BrkSide","Ames",1176,2,134900
"BrkSide","Ames",1412,4,132500
"BrkSide","Ames",1573,3,133000
"OldTown","Ames",1826,4,155000
"OldTown","Ames",1944,3,179900
"IDOTRR","Ames",1930,4,149000
"IDOTRR","Ames",1666,3,135000
"Edwards","Ames",1152,2,159900
"Edwards","Ames",1112,4,63000
"Sawyer","Ames",858,2,134900
"Sawyer","Ames",1138,3,148000
"Sawyer","Ames",660,2,63900
"Edwards","Ames",1229,3,135000
"Edwards","Ames",861,1,82500
"Edwards","Ames",1073,2,121500
"Edwards","Ames",1049,2,139500
"SawyerW","Ames",1775,3,213000
"SawyerW","Ames",1879,3,239900
"SawyerW","Ames",2016,4,131000
"SawyerW","Ames",1535,4,118858
"SawyerW","Ames",1229,2,148325
"SawyerW","Ames",2787,6,269500
"CollgCr","Ames",1604,3,220000
"CollgCr","Ames",1290,2,2e+05
"CollgCr","Ames",1040,3,152000
"CollgCr","Ames",1097,3,145000
"CollgCr","Ames",907,3,140000
"CollgCr","Ames",1611,3,250000
"CollgCr","Ames",1870,3,211000
"CollgCr","Ames",1417,3,210000
"CollgCr","Ames",1716,2,191000
"CollgCr","Ames",848,1,144000
"CollgCr","Ames",1602,3,293200
"CollgCr","Ames",1728,3,190000
"Edwards","Ames",1486,3,167000
"Edwards","Ames",1368,3,120000
"Edwards","Ames",1529,4,98000
"Edwards","Ames",864,2,99900
"Edwards","Ames",944,2,82000
"SWISU","Ames",1520,3,159434
"SWISU","Ames",438,1,60000
"Crawfor","Ames",1913,3,177000
"Crawfor","Ames",2080,3,234000
"Crawfor","Ames",1112,2,144800
"Crawfor","Ames",1982,3,208000
"Crawfor","Ames",1680,3,222000
"IDOTRR","Ames",1344,3,147000
