"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",135389.245488037,14763.6274354982,9.17045936573161,3.18898570923125e-19
"NeighborhoodBlmngtn",10340.572861859,35383.8449036744,0.292239944246002,0.770171206394265
"NeighborhoodBlueste",-58369.056722733,73304.3613126786,-0.796256261940006,0.42609519924615
"NeighborhoodBrDale",-84222.1787044622,30003.0605700114,-2.80711957728218,0.00510776869148539
"NeighborhoodBrkSide",-75768.6741020477,26179.1955838265,-2.89423232503207,0.00389361018477591
"NeighborhoodClearCr",-23091.8541140111,32936.327805962,-0.701105911079473,0.48341998127095
"NeighborhoodCollgCr",3385.41216265089,17987.4384778614,0.18820979801085,0.850755047665357
"NeighborhoodCrawfor",12251.8241020345,23504.6175950485,0.521251794567185,0.602320903810307
"NeighborhoodEdwards",-72959.0356579353,17716.9155387138,-4.11804388289318,4.1763481637712e-05
"NeighborhoodFresno",-19379.5948728651,14838.3864298249,-1.30604462719157,0.19187445266152
"NeighborhoodGilbert",-17278.3891483916,20652.3473285305,-0.836630765187747,0.403024469915682
"NeighborhoodGreens",18493.3973486739,44178.1906597897,0.418609206771031,0.675602641797496
"NeighborhoodIDOTRR",-89163.4875855023,20691.7307376535,-4.30913627844809,1.8213620580792e-05
"NeighborhoodLong Beach",14448.2687224763,14844.1957649236,0.973327821276596,0.330654562099478
"NeighborhoodLos Angeles",-8384.39473543284,15587.7125256617,-0.537884870639603,0.590790856672593
"NeighborhoodMeadowV",-94639.4024652745,34516.183758574,-2.74188488296496,0.00623120211003617
"NeighborhoodMitchel",-36002.762048401,21375.2580665912,-1.68431940967637,0.0924701852541884
"NeighborhoodNAmes",-51562.8640384223,15774.8716104035,-3.26867091611806,0.00112191779983331
"NeighborhoodNoRidge",85231.9558942051,30077.8605106255,2.83371072434143,0.00470502573436019
"NeighborhoodNPkVill",-54276.4490006378,34757.6817026846,-1.56156700740043,0.118745118506887
"NeighborhoodNridgHt",107066.273254161,21334.267823286,5.01851172681444,6.28700296317221e-07
"NeighborhoodNWAmes",-25012.3988668479,22054.4500332979,-1.13412027183104,0.257049136668819
"NeighborhoodOakland",4126.14344783464,15680.2760825862,0.263142270333935,0.792501761844222
"NeighborhoodOldTown",-73759.4362064206,18783.785092931,-3.92676107831849,9.27425676868819e-05
"NeighborhoodSacramento",-27898.8418956878,15193.333835044,-1.83625543929918,0.0666529191650311
"NeighborhoodSan Diego",-20071.3605395777,15631.6662560985,-1.28401926005471,0.199469001375296
"NeighborhoodSan Francisco",-14962.5358151875,14992.1321129576,-0.998025878004069,0.318537769794781
"NeighborhoodSan Jose",-1457.38119768086,15780.113921191,-0.0923555561740118,0.926436310116211
"NeighborhoodSanta Ana",-20636.1978445598,14960.4008839794,-1.37938802606944,0.168121250847133
"NeighborhoodSawyer",-61923.5706391512,17917.8938622259,-3.45596257658926,0.000574238622585743
"NeighborhoodSawyerW",-25180.1722302265,20843.9185945273,-1.20803447374995,0.227354538561422
"NeighborhoodSomerst",20156.7761668101,21675.5751957576,0.929930393300715,0.352658997348709
"NeighborhoodStoneBr",118984.401699005,29051.8621731757,4.09558605881267,4.5942705151515e-05
"NeighborhoodSWISU",-89075.1117497166,28541.7149830464,-3.12087454459645,0.00186124697828024
"NeighborhoodTimber",29448.7127308152,28480.9748545057,1.0339783972021,0.301426817904948
"NeighborhoodVeenker",43386.3313697948,38802.8784903158,1.11812146566969,0.263816493706816
"Liv_Area",40.119660100551,7.23433474860524,5.545729012372,3.85849228902978e-08
"Total_bedrooms",3851.20670607984,2599.99007272796,1.48123900413169,0.138896432277801
